y,x,street_count,highway,junction,ref,geometry
10.9938296,106.3725647,3,,,,POINT (106.3725647 10.9938296)
11.4311648,106.3771831,1,,,,POINT (106.3771831 11.4311648)
11.2589147,106.3703686,3,,,,POINT (106.3703686 11.2589147)
11.2762937,106.3595547,3,,,,POINT (106.3595547 11.2762937)
11.2668441,106.3676951,3,,,,POINT (106.3676951 11.2668441)
11.2687901,106.3640323,4,,,,POINT (106.3640323 11.2687901)
11.2723296,106.3595598,3,,,,POINT (106.3595598 11.2723296)
11.252437,106.3743065,3,,,,POINT (106.3743065 11.252437)
11.2834796,106.3796171,3,,,,POINT (106.3796171 11.2834796)
11.3277086,106.4759848,3,,,,POINT (106.4759848 11.3277086)
11.3069472,106.4545676,3,,,,POINT (106.4545676 11.3069472)
11.2736656,106.3569172,3,,,,POINT (106.3569172 11.2736656)
11.2722581,106.3593936,3,,,,POINT (106.3593936 11.2722581)
11.2721036,106.3594916,3,,,,POINT (106.3594916 11.2721036)
11.2721615,106.359614,3,,,,POINT (106.359614 11.2721615)
11.2736805,106.3595971,4,,,,POINT (106.3595971 11.2736805)
11.2732139,106.3622161,3,,,,POINT (106.3622161 11.2732139)
11.2718896,106.3646305,3,,,,POINT (106.3646305 11.2718896)
11.2815989,106.3714556,3,,,,POINT (106.3714556 11.2815989)
11.2792759,106.3581755,4,,,,POINT (106.3581755 11.2792759)
11.2746102,106.3578662,3,,,,POINT (106.3578662 11.2746102)
11.2777803,106.3694176,3,,,,POINT (106.3694176 11.2777803)
11.2812237,106.3693988,5,,,,POINT (106.3693988 11.2812237)
11.2775594,106.363653,4,,,,POINT (106.363653 11.2775594)
11.2779524,106.3612147,3,,,,POINT (106.3612147 11.2779524)
11.2981453,106.3690617,2,,,,POINT (106.3690617 11.2981453)
11.2992753,106.3693124,4,,,,POINT (106.3693124 11.2992753)
11.273745,106.3553659,3,,,,POINT (106.3553659 11.273745)
11.2840825,106.3650598,2,,,,POINT (106.3650598 11.2840825)
